timestamp,camera_id,trigger_type,yolo_class,yolo_confidence,brightness,motion_pct,vlm_description,image_path,processing_time_ms
2026-09-13T00:48:26Z,pi-wildlife,heartbeat,heartbeat,0.9,132.0,0.0,"The scene shows a small, dark-colored building with a sloped roof, surrounded by a gravel area with some small plants and bushes. The building appears to be a shed or a small storage structure, and there is a paved path leading up to it. The area is likely part of a residential or recreational facility, given the presence of the building and the pathway.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T004826_heartbeat.jpg,56504
2026-09-13T01:00:58Z,pi-wildlife,heartbeat,heartbeat,0.9,130.3,0.0,"The scene shows a small, single-story building with a sloped roof, surrounded by a gravel driveway and a small garden area with a few bushes. The building appears to be a shed or a small storage structure, and there is a person walking towards the building in the background. The setting is likely a residential area with trees and greenery in the background.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T010058_heartbeat.jpg,20985
2026-09-13T01:02:38Z,pi-wildlife,heartbeat,heartbeat,0.9,131.5,0.0,"The scene shows a small, dark-colored building with a sloped roof, surrounded by a gravel area with some small plants and bushes. There are three people visible in the background, walking near the building. The setting appears to be a residential or community area with trees and other buildings in the background.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T010238_heartbeat.jpg,10052
2026-09-13T01:05:51Z,pi-wildlife,heartbeat,heartbeat,0.9,129.5,0.0,"The image shows a small tree growing out of the roof of a building. The tree is surrounded by a patch of dirt and small rocks. The building has a flat roof with a small overhang, and there is another building visible in the background. The scene appears to be in a residential area with trees and greenery nearby.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T010551_heartbeat.jpg,2115
2026-09-13T01:10:51Z,pi-wildlife,heartbeat,heartbeat,0.9,128.3,0.0,"The scene shows a small tree growing near the edge of a concrete or asphalt surface. The tree is casting a shadow on the ground, and there are a few people walking in the background, possibly in a residential area. The perspective is from above, looking down at the tree and the people.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T011051_heartbeat.jpg,1897
2026-09-13T01:12:13Z,pi-wildlife,heartbeat,heartbeat,0.9,126.6,0.0,"The scene shows a small, dark-colored building with a sloped roof, surrounded by a gravel driveway and some small bushes. There are two people walking near the building, and the area appears to be a residential or community setting with trees in the background.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T011213_heartbeat.jpg,1862
2026-09-13T01:20:40Z,pi-wildlife,heartbeat,heartbeat,0.9,124.4,0.0,"The scene shows a small, dark-colored building with a sloped roof, surrounded by a gravel driveway and some greenery. There is a person walking on the left side of the frame, and the building appears to be part of a residential or community area.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T012040_heartbeat.jpg,9929
2026-09-13T01:30:40Z,pi-wildlife,wildlife_motion,wildlife_motion,0.9,119.8,14.52,"In the image, a person is seen extending their arm towards the camera, likely to adjust or interact with it. The background shows a residential area with a house and some trees, indicating a suburban setting. The person is wearing a dark-colored shirt with a yellow stripe.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T013040_wildlife_motion.jpg,13353
2026-09-13T01:36:51Z,pi-wildlife,heartbeat,heartbeat,0.9,124.5,0.0,"The image shows a residential area with a small, single-story building with a dark-colored exterior. In front of the building, there is a small garden area with some bushes and a few scattered leaves on the ground. The scene is set in a suburban neighborhood with trees and other buildings visible in the background.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T013651_heartbeat.jpg,9682
2026-09-13T01:46:34Z,pi-wildlife,heartbeat,heartbeat,0.9,118.9,0.0,"The scene shows a small, dark-colored building with a sloped roof, surrounded by a gravel driveway and a small garden area with a few bushes. The building appears to be a shed or a small storage structure, and the area is likely part of a residential property.",C:\Users\Kavitha padala\Desktop\ANT project\vision_server\data\images\20260913T014634_heartbeat.jpg,8862
